fid,Latitud,Longitud,Fecha,foto,class,type
229,-4.1044,-73.4554,2023-03-30,DCIM/criadero_20230330094813461.jpg,Standing water,criadero
230,-4.1045,-73.4552,2023-03-30,DCIM/criadero_20230330095026127.jpg,Abandoned structure,criadero
231,-4.1046,-73.4551,2023-03-30,DCIM/criadero_20230330095402651.jpg,Standing water,criadero
232,-4.1047,-73.4544,2023-03-30,DCIM/criadero_20230330095720245.jpg,Standing water,criadero
233,-4.1048,-73.4544,2023-03-30,DCIM/criadero_20230330100041778.jpg,Drainage,criadero
234,-4.104,-73.4557,2023-03-30,DCIM/criadero_20230330103033198.jpg,Standing water,criadero
235,-4.0438,-73.4383,2023-03-30,DCIM/criadero_20230330160356922.jpg,Standing water,criadero
236,-4.0436,-73.4382,2023-03-30,DCIM/criadero_20230330160503002.jpg,Drainage,criadero
237,-4.0436,-73.4373,2023-03-30,DCIM/criadero_20230330161030546.jpg,Drainage,criadero
238,-4.0435,-73.4373,2023-03-30,DCIM/criadero_20230330161127527.jpg,Drainage,criadero
239,-4.0431,-73.4368,2023-03-30,DCIM/criadero_20230330161252556.jpg,Standing water,criadero
240,-4.0431,-73.4373,2023-03-30,DCIM/criadero_20230330162348492.jpg,Drainage,criadero
241,-4.0434,-73.4375,2023-03-30,DCIM/criadero_20230330162500704.jpg,Drainage,criadero
242,-4.0433,-73.4378,2023-03-30,DCIM/criadero_20230330162648406.jpg,Drainage,criadero
243,-3.8898,-73.3511,2023-03-31,DCIM/criadero_20230331145641070.jpg,Standing water,criadero
244,-3.8902,-73.3509,2023-03-31,DCIM/criadero_20230331145828020.jpg,Standing water,criadero
245,-3.8905,-73.3511,2023-03-31,DCIM/criadero_20230331150026265.jpg,Standing water,criadero
246,-3.8912,-73.3507,2023-03-31,DCIM/criadero_20230331150145079.jpg,Standing water,criadero
247,-3.8916,-73.3505,2023-03-31,DCIM/criadero_20230331150323750.jpg,Standing water,criadero
248,-3.8929,-73.352,2023-03-31,DCIM/criadero_20230331151327548.jpg,Standing water,criadero
249,-3.8918,-73.3538,2023-03-31,DCIM/criadero_20230331152046309.jpg,Standing water,criadero
250,-3.8912,-73.3537,2023-03-31,DCIM/criadero_20230331152215131.jpg,Standing water,criadero
251,-3.894,-73.3514,2023-03-31,DCIM/criadero_20230331154500936.jpg,Standing water,criadero
252,-3.8966,-73.3526,2023-03-31,DCIM/criadero_20230331155450039.jpg,Standing water,criadero
253,-3.8991,-73.3525,2023-03-31,DCIM/criadero_20230331160329902.jpg,Standing water,criadero
254,-3.8994,-73.3537,2023-03-31,DCIM/criadero_20230331160920186.jpg,Standing water,criadero
255,-3.8995,-73.3533,2023-03-31,DCIM/criadero_20230331161022200.jpg,Standing water,criadero
256,-3.8263,-73.3523,2023-04-02,DCIM/criadero_20230402150912390.jpg,Standing water,criadero
257,-3.8263,-73.3527,2023-04-02,DCIM/criadero_20230402151048634.jpg,Drainage,criadero
258,-3.8273,-73.3541,2023-04-02,DCIM/criadero_20230402151654026.jpg,Standing water,criadero
259,-3.8274,-73.3547,2023-04-02,DCIM/criadero_20230402151840775.jpg,Standing water,criadero
260,-3.8286,-73.356,2023-04-02,DCIM/criadero_20230402152547629.jpg,Standing water,criadero
261,-3.8284,-73.3556,2023-04-02,DCIM/criadero_20230402152735308.jpg,Standing water,criadero
262,-3.8284,-73.3553,2023-04-02,DCIM/criadero_20230402152846336.jpg,Standing water,criadero
263,-4.2191,-73.4826,2023-03-26,DCIM/criadero_20230326120420896.jpg,Standing water,criadero
264,-4.2202,-73.4821,2023-03-26,DCIM/criadero_20230326121135967.jpg,Standing water,criadero
